pod_id,algorithm,timestamp,success,execution_time,emissions,node,timeslot,considered_options
m175-duration-3h-deadline-5h,heuristic,1742739824.9600933,True,0.00014901161193847656,107.46202875561926,node-3-it-no-server,2,32
m176-duration-6h-deadline-12h,heuristic,1742739824.9620903,True,0.001001596450805664,5.498451524096985,node-2-es-laptop,4,88
m177-duration-1h-deadline-3h,heuristic,1742739824.9635286,True,0.00019049644470214844,0.258003069020021,node-0-de-iot,1,16
m178-duration-3h-deadline-9h,heuristic,1742739824.9653342,True,0.0005881786346435547,4.069225762048493,node-2-es-laptop,4,64
m179-duration-6h-deadline-12h,heuristic,1742739824.967331,True,0.0007884502410888672,11.438451524096985,node-2-es-laptop,4,88
m180-duration-1h-deadline-7h,heuristic,1742739824.9688869,True,0.0004565715789794922,0.7926030690200211,node-0-de-iot,1,48
m181-duration-3h-deadline-27h,heuristic,1742739938.4786963,True,0.0017230510711669922,0.13855969528459694,node-5-fr-smartphone,17,208
m182-duration-6h-deadline-8h,heuristic,1742739938.480104,True,0.00042891502380371094,8.138451524096986,node-2-es-laptop,4,56
m183-duration-1h-deadline-7h,heuristic,1742739938.481458,True,0.00035572052001953125,0.3471030690200211,node-0-de-iot,1,48
m184-duration-3h-deadline-9h,heuristic,1742739938.4829006,True,0.00048470497131347656,5.7192257620484925,node-2-es-laptop,4,64
m185-duration-6h-deadline-12h,heuristic,1742739938.4849129,True,0.0008478164672851562,5.498451524096985,node-2-es-laptop,4,88
m186-duration-1h-deadline-7h,heuristic,1742739938.4863973,True,0.00048828125,0.49560306902002105,node-4-de-iot,1,48
m187-duration-3h-deadline-27h,heuristic,1742739938.489434,True,0.001798391342163086,0.413959695284597,node-5-fr-smartphone,17,208
m188-duration-6h-deadline-12h,heuristic,1742739938.4912663,True,0.0007126331329345703,5.498451524096985,node-2-es-laptop,4,88
m189-duration-1h-deadline-7h,heuristic,1742739938.4925604,True,0.0003523826599121094,0.49560306902002105,node-4-de-iot,1,48
m190-duration-3h-deadline-5h,heuristic,1742739938.4937,True,0.00022149085998535156,104.85952875561927,node-3-it-no-server,2,32
m191-duration-6h-deadline-12h,heuristic,1742739938.4952855,True,0.0006878376007080078,5.498451524096985,node-2-es-laptop,4,88
m192-duration-1h-deadline-7h,heuristic,1742739938.4964864,True,0.00036072731018066406,0.258003069020021,node-4-de-iot,1,48
m193-duration-3h-deadline-9h,heuristic,1742739938.497887,True,0.00045561790466308594,3.2442257620484924,node-2-es-laptop,4,64
m194-duration-6h-deadline-12h,heuristic,1742739938.4995363,True,0.0006983280181884766,11.438451524096985,node-2-es-laptop,4,88
m195-duration-1h-deadline-25h,heuristic,1742739938.5021589,True,0.0015001296997070312,0.08448656509486566,node-5-fr-smartphone,13,192
m196-duration-3h-deadline-5h,heuristic,1742739938.5033295,True,0.0002486705780029297,110.71515375561927,node-3-it-no-server,2,32
m197-duration-6h-deadline-30h,heuristic,1742739938.5063016,True,0.001960277557373047,0.5219193905691939,node-5-fr-smartphone,17,232
m198-duration-1h-deadline-3h,heuristic,1742740055.4791675,True,0.00020956993103027344,0.513103069020021,node-0-de-iot,0,16
m199-duration-3h-deadline-27h,heuristic,1742740055.48245,True,0.001958608627319336,0.15415969528459694,node-1-fr-smartphone,20,208
m200-duration-6h-deadline-30h,heuristic,1742740055.4861095,True,0.0024116039276123047,0.5669193905691939,node-5-fr-smartphone,19,232
m201-duration-1h-deadline-3h,heuristic,1742740055.487388,True,0.00017642974853515625,0.35935306902002107,node-0-de-iot,0,16
m202-duration-3h-deadline-9h,heuristic,1742740055.4890273,True,0.0005810260772705078,5.7192257620484925,node-6-es-laptop,4,64
m203-duration-6h-deadline-12h,heuristic,1742740055.4912748,True,0.0010652542114257812,11.438451524096985,node-6-es-laptop,4,88
